date,time,open,high,low,close,volume
20260311,0858,315.38,315.39,315.2,315.36,15839
20260311,0859,315.36,315.39,315.29,315.39,244
20260311,0900,315.38,315.38,315.23,315.3,15018
20260311,0901,315.3,315.32,315.17,315.17,14763
20260311,0902,315.17,315.21,315.15,315.17,13516
20260311,0903,315.17,315.23,315.14,315.19,9718
20260311,0904,315.22,315.28,315.18,315.28,4228
20260311,0905,315.29,315.37,315.29,315.37,1936
20260311,0906,315.34,315.36,315.31,315.36,11145
20260311,0907,315.36,315.43,315.33,315.38,13381
20260311,0908,315.38,315.39,315.32,315.38,2192
20260311,0909,315.38,315.38,315.3,315.31,5743
20260311,0910,315.31,315.33,315.29,315.31,6621
20260311,0911,315.33,315.4,315.28,315.28,6167
20260311,0912,315.33,315.34,315.29,315.3,3376
20260311,0913,315.33,315.37,315.3,315.37,1354
20260311,0914,315.37,315.43,315.36,315.4,4453
20260311,0915,315.43,315.43,315.39,315.4,4158
20260311,0916,315.39,315.4,315.36,315.39,5929
20260311,0917,315.4,315.4,315.36,315.36,3839
20260311,0918,315.37,315.39,315.33,315.35,6996
20260311,0919,315.35,315.38,315.31,315.37,540
20260311,0920,315.37,315.37,315.31,315.34,1318
20260311,0921,315.36,315.39,315.32,315.38,3045
20260311,0922,315.39,315.39,315.02,315.06,33875
20260311,0923,315.08,315.08,314.44,314.87,174450
20260311,0924,314.85,315.1,314.85,314.98,18721
20260311,0925,314.98,314.98,314.57,314.63,27338
20260311,0926,314.62,314.67,314.55,314.63,25221
20260311,0927,314.62,314.64,314.62,314.64,5361
20260311,0928,314.64,314.64,314.63,314.64,18701
20260311,0929,314.64,314.75,314.63,314.72,12806
20260311,0930,314.7,314.73,314.47,314.67,29527
20260311,0931,314.69,314.87,314.69,314.77,8386
20260311,0932,314.76,314.89,314.76,314.84,3367
20260311,0933,314.84,314.84,314.72,314.84,4845
20260311,0934,314.81,314.84,314.79,314.8,4104
20260311,0935,314.76,314.76,314.56,314.66,17989
20260311,0936,314.67,314.71,314.62,314.69,1511
20260311,0937,314.69,314.69,314.64,314.66,9621
20260311,0938,314.67,314.7,314.66,314.67,1752
20260311,0939,314.67,314.68,314.51,314.61,9806
20260311,0940,314.63,314.68,314.59,314.66,659
20260311,0941,314.66,314.68,314.65,314.67,557
20260311,0942,314.67,314.89,314.67,314.85,10691
20260311,0943,314.86,315.09,314.81,314.81,33642
20260311,0944,314.8,315.03,314.8,315.01,26056
20260311,0945,315.02,315.03,314.89,314.95,7539
20260311,0946,314.91,315.01,314.88,315.01,23683
20260311,0947,315.0,315.05,315.0,315.05,245
20260311,0948,315.05,315.09,315.03,315.08,5064
20260311,0949,315.09,315.25,315.09,315.2,3428
20260311,0950,315.21,315.6,315.17,315.6,123856
20260311,0951,315.61,316.32,315.49,316.13,467360
20260311,0952,316.11,316.31,316.04,316.23,141853
20260311,0953,316.24,316.36,316.19,316.34,158640
20260311,0954,316.35,316.5,316.34,316.5,105032
20260311,0955,316.5,316.5,316.43,316.44,121602
20260311,0956,316.44,316.44,316.21,316.37,101790
20260311,0957,316.37,316.46,316.18,316.36,72965
20260311,0958,316.37,316.37,316.2,316.24,14116
20260311,0959,316.24,316.37,316.12,316.33,45458
20260311,1000,316.33,316.36,316.18,316.36,72830
20260311,1001,316.36,316.37,316.25,316.3,28259
20260311,1002,316.3,316.38,316.27,316.35,30149
20260311,1003,316.34,316.34,316.23,316.26,14726
20260311,1004,316.26,316.26,316.21,316.22,26954
20260311,1005,316.21,316.22,315.89,315.93,77855
20260311,1006,315.9,316.15,315.84,316.15,38878
