date,open,high,low,close,volume
20210215,268.49,275.07,264.19,270.51,325913820
20210222,270.1,276.48,266.43,270.17,266928150
20210301,273.0,283.83,271.13,277.5,347346170
20210308,278.8,288.0,277.56,284.93,226848730
20210315,286.05,293.88,278.03,285.47,390397970
20210322,285.0,292.75,282.11,291.22,271223770
20210329,289.72,295.72,288.43,291.7,200365050
20210405,290.8,291.48,278.54,281.07,278363520
20210412,278.2,291.58,278.0,288.5,336066100
20210419,287.86,294.67,286.04,293.19,280601800
20210426,294.3,301.84,293.1,297.73,241997640
20210503,298.7,319.16,298.2,317.94,221172040
20210510,318.26,320.19,299.33,304.1,279916300
20210517,303.5,306.62,293.0,301.23,245554260
20210524,302.02,314.0,299.59,309.56,209975560
20210531,309.3,315.71,307.6,310.94,160020650
20210607,310.03,316.58,308.57,313.0,151431050
20210614,313.48,315.6,308.13,309.3,200298070
20210621,308.47,312.5,306.56,311.81,126823030
20210628,311.77,312.06,303.34,307.39,133852650
20210705,307.81,308.11,300.62,303.56,123178710
20210712,303.55,307.22,298.57,298.85,126192120
20210719,298.0,298.69,290.03,296.38,129768220
20210726,294.0,306.67,291.98,305.59,177411090
20210802,306.23,320.0,306.06,319.15,187927570
20210809,318.59,331.29,317.62,328.68,187883270
20210816,327.59,338.99,325.17,325.67,185360460
20210823,327.85,331.22,320.58,327.41,139858810
20210830,328.43,334.91,326.51,329.71,144797670
20210906,330.0,332.74,322.84,326.25,137276110
20210913,327.01,334.6,324.01,329.56,207334610
20210920,327.01,329.48,322.39,325.44,169456590
20210927,326.39,342.2,326.09,338.48,235915640
20211004,337.9,375.48,336.22,373.01,323361330
20211011,375.0,388.11,370.43,371.82,246785440
20211018,369.35,373.4,361.5,364.37,156682410
20211025,366.2,374.92,352.68,356.14,221358910
20211101,356.15,374.0,356.14,360.21,162964160
20211108,362.57,364.58,339.68,347.59,271611780
20211115,349.24,352.8,325.7,327.56,285958890
20211122,326.05,329.97,300.1,304.42,501978110
20211129,311.11,329.44,309.42,320.66,355347700
20211206,322.0,324.16,291.57,297.44,710884060
20211213,298.23,300.99,261.5,294.9,654903060
